Metabolite,MetaboliteGroup,n3PUFA_containing,Type,Log2FC,GreaterDiet,EPA 122,EPA 123,EPA 125,EPA 129,EPA 130,HF60 101,HF60 106,HF60 108,HF60 110
TG(58:13),Triglycerides,YES,TG,32.36848583,EPA,57415.08,72613.1,14115.958,59542.652,73552.74,1.00E-05,1.00E-05,1.00E-05,1.00E-05
TG(60:15),Triglycerides,YES,TG,31.67486033,EPA,34756.562,41995.617,20507.479,35580.824,38576.195,1.00E-05,1.00E-05,1.00E-05,1.00E-05
TG(62:16),Triglycerides,YES,TG,6.454991364,EPA,20334.195,20592.805,12608.929,21367.342,18528.979,139.74446,283.8175,272.99994,155.44041
TG(56:11),Triglycerides,YES,TG,4.903492068,EPA,259749.1,293047.78,169899.66,250470.02,318699.03,10611.687,12845.624,6676.697,4396.9893
TG.34.10.,Triglycerides,NO,TG,4.05845123,EPA,24975.094,26867.812,16144.441,24856.152,25559.863,2910.9307,1714.125,548.07117,511.9778
TG(62:14),Triglycerides,YES,TG,3.786535651,EPA,3231.5852,2644.1768,2442.9243,3620.9949,2922.7085,2.4853165,364.99988,135.37141,358.76746
TG(62:17),Triglycerides,YES,TG,3.786535651,EPA,3231.5852,2644.1768,2442.9243,3620.9949,2922.7085,2.4853165,364.99988,135.37141,358.76746
TG(60:14),Triglycerides,YES,TG,3.687557539,EPA,46148.582,46045.96,28216.729,45286.844,46270.086,3624.8044,4717.0195,3685.7737,1133.5958
TG.62.13.,Triglycerides,NO,TG,3.550002949,EPA,2290.239,2399.1519,2024.9384,2851.5444,2277.8552,318.0562,344.23163,NaN,146.66104
TG(58:12),Triglycerides,YES,TG,3.494620343,EPA,281643.4,335141.94,193047.7,286710.22,360116.8,31650.309,37235.17,34500.74,1.00E-05
TG(42:10),Triglycerides,YES,TG,3.009208164,EPA,14058.007,13985.695,8620.662,18574.111,16452.723,1855.6494,2424.4192,1919.1084,924.3308
TG.64.15.,Triglycerides,NO,TG,2.655843152,EPA,3767.06,3298.833,3394.2673,4148.719,3429.4165,612.23395,771.97723,547.409,358.17712
TG(58:11),Triglycerides,YES,TG,1.673960248,EPA,386724.9,446862.03,300443.44,398811.03,488280.3,130069.63,158337.08,134858,83457.81
PS.39.8.,Phosphoserines,NO,PS,1.711871457,EPA,2001.9161,3728.0588,2887.9297,3233.8962,4153.081,1078.604,1287.5645,879.58026,662.8204
PE.36.5.,Phosphoethanolamines,NO,PE,4.467561729,EPA,50903.574,71080.22,58075.293,92887.58,115453.3,3197.142,4071.8474,3496.2627,3279.0151
PE.42.8.,Phosphoethanolamines,NO,PE,2.46409331,EPA,41783.29,38245.23,55059.883,58592.06,44001.734,8663.335,7728.102,7885.163,10183.826
PE.P.40.5.,Phosphoethanolamines,NO,PE,1.792113244,EPA,40916.625,40439.92,55912.156,71047.69,54019.54,16395.855,12350.508,12554.114,19298.867
LysoPE.22.5.,Phosphoethanolamines,NO,LysoPE,1.764144874,EPA,1982.9526,2203.7498,3399.4731,2836.3076,2298.3208,898.37775,702.58344,689.07684,705.97723
PE.40.4.,Phosphoethanolamines,NO,PE,-1.946258676,HF,2400.6875,2402.4922,2565.216,2973.921,2312.3257,11520.363,8366.914,8904.163,10222.706
PE.40.5.,Phosphoethanolamines,NO,PE,-4.193944173,HF,1.00E-05,1935.8264,3053.0774,1.00E-05,1.00E-05,19344.691,16505.178,19027.77,18168.643
PC(38:8),Phosphocholines,YES,PC,2.722774527,EPA,4101.2554,5884.6064,4602.6025,5707.1226,6459.8306,930.07043,1547.457,764.86005,1.00E-05
